id,dat_nsc,renda,latitude,longitude,ano,mes,dia,hora,idade,geracoes,index_right,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,qtd_cliente,geometry/type,geometry/coordinates/0,geometry/coordinates/1
f0cce655-6073-4632-86c6-d6c292749dd0,1951/08/27 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-22.597717692312,-46.528518461542,1951,8,27,0,70,1940 a 1959 - Baby Boomers ,3847,3552106,Socorro,SP,449.029,12,Point,-46.528518461542,-22.597717692312
d5d0ffc9-4de6-4fd2-aedb-90214ba72d55,1955/09/19 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-22.623380000004,-46.535510000004,1955,9,19,0,66,1940 a 1959 - Baby Boomers ,3847,3552106,Socorro,SP,449.029,12,Point,-46.535510000004,-22.623380000004
579d0a21-d244-43af-868b-49d6afe0d75f,1958/04/25 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-22.591389000003,-46.528889000003,1958,4,25,0,63,1940 a 1959 - Baby Boomers ,3847,3552106,Socorro,SP,449.029,12,Point,-46.528889000003,-22.591389000003
cbc9c027-89b1-47b5-8bb5-26f456fe79c8,1965/01/30 00:00:00,"DE R$ 788,00 A R$ 1.140,00",-27.122220000004,-48.611140000004,1965,1,30,0,56,1960 a 1979 - Geracao X,4437,4208302,Itapema,SC,58.21,2,Point,-48.611140000004,-27.122220000004
99cfca28-0c4a-4396-a41d-3b91a1b14609,1976/08/03 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-27.136261701497,-48.617569194034,1976,8,3,0,45,1960 a 1979 - Geracao X,4437,4208302,Itapema,SC,58.21,2,Point,-48.617569194034,-27.136261701497
34d4b88c-9829-46d0-b171-29f55e2a26e8,1953/07/24 00:00:00,"DE R$ 788,00 A R$ 1.140,00",-27.936944000003,-50.511944000003,1953,7,24,0,68,1940 a 1959 - Baby Boomers ,4363,4203253,Capão Alto,SC,1331.962,1,Point,-50.511944000003,-27.936944000003
df3343bb-c17f-49b7-88ad-792b0d55cbb6,1973/08/23 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-15.293333000003,-39.075278000003,1973,8,23,0,48,1960 a 1979 - Geracao X,2227,2932507,Una,BA,1126.733,1,Point,-39.075278000003,-15.293333000003
aa77f165-25a0-4963-bbe5-40b1d0d91efd,1936/07/21 00:00:00,"DE R$ 788,00 A R$ 1.140,00",-28.976639024394,-51.06139560976,1936,7,21,0,85,1900 a 1940 - Veteranos,5007,4319000,São Marcos,RS,256.177,1,Point,-51.06139560976,-28.976639024394
1567c7bc-fe23-4985-ade0-7a31c66302f0,1964/10/07 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-21.024356887442,-40.820528013059,1964,10,7,0,57,1960 a 1979 - Geracao X,3141,3203320,Marataízes,ES,130.268,2,Point,-40.820528013059,-21.024356887442
3feee800-d836-49be-8fd8-ee6bff369bc7,1967/01/03 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-21.024356887442,-40.820528013059,1967,1,3,0,54,1960 a 1979 - Geracao X,3141,3203320,Marataízes,ES,130.268,2,Point,-40.820528013059,-21.024356887442
8b6f1b4b-9e2e-4d3f-99c6-514cd504f1d2,1966/10/18 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-21.010090000004,-40.831665000004,1966,10,18,0,55,1960 a 1979 - Geracao X,3132,3202801,Itapemirim,ES,550.71,1,Point,-40.831665000004,-21.010090000004
